Company,DateAdded,DateAddedM,DateAddedD,DateAddedY,ReplacedBy,DateRemoved,DateRemovedM,DateRemovedD,DateRemovedY,DateAcquired,DateAcquiredM,DateAcquiredD,DateAcquiredY,Acquired,DateAbsorbed,DateAbsorbedM,DateAbsorbedD,DateAbsorbedY,AbsorbedBy,DateMerged1,DateMerged1M,DateMerged1D,DateMerged1Y,MergedWith1,MergedWith2,DateMerged2,DateMerged2M,DateMerged2D,DateMerged2Y,DateReorganized,DateReorganizedM,DateReorganizedD,DateReorganizedY,ReorganizedAs,Note,DateNameChange1,DateNameChange1M,DateNameChange1D,DateNameChange1Y,NameChanged1,DateNameChange2,DateNameChange2M,DateNameChange2D,DateNameChange2Y,NameChanged2,DateNameChange3,DateNameChange3M,DateNameChange3D,DateNameChange3Y,NameChanged3,DaysOn
Aluminum Company of America,6$1$1959,6,1,1959,"The Goldman Sachs Group, Inc.",9$23$2013,9,23,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,11$1$1999,11,1,1999,Alcoa Inc.,,,,,,,,,,,19838
Hewlett-Packard Company,3$17$1997,3,17,1997,Visa Inc.,9$23$2013,9,23,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6034
Bank of America Corporation,2$19$2008,2,19,2008,"Nike, Inc.",9$23$2013,9,23,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2043
SBC Communications Inc.,11$1$1999,11,1,1999,Apple Inc.,3$19$2015,3,19,2015,4$8$2004,4,8,2004,AT&T Corporation,,,,,,,,,,,,,,,,,,,,,,4$8$2004,4,8,2004,AT&T Inc.,,,,,,,,,,,5617
American Tobacco Company ,5$26$1896,5,26,1896,Continental Tobacco Company,4$21$1899,4,21,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060
Distilling & Cattle Feeding Co. ,5$26$1896,5,26,1896,American Steel & Wire Co.,4$21$1899,4,21,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,"August 26, 1896","August 26, 1896",,,American Spirits Manufacturing Co.,,,,,,,,,,,1060
The Laclede Gas Company ,5$26$1896,5,26,1896,Federal Steel Company,4$21$1899,4,21,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060
Standard Rope & Twine Co.,12$23$1896,12,23,1896,General Electric Company,4$21$1899,4,21,1899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,849
North American Company ,5$26$1896,5,26,1896,United States Cordage Company,8$26$1896,8,26,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92
United States Cordage Company (Preferred),8$26$1896,8,26,1896,Standard Rope & Twine Co.,12$23$1896,12,23,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119
United States Rubber Company ,5$26$1896,5,26,1896,Pacific Mail Steamship Company,11$10$1896,11,10,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168
General Electric Company ,5$26$1896,5,26,1896,United States Rubber Company,9$1$1896,9,1,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98
General Electric Company,11$7$1907,11,7,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2898
Standard Oil Co. of New Jersey,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,1$27$2003,1,27,2003,Mobil,,,,,,,,,,,,8$9$1976,8,9,1976,Exxon Corporation,1$27$2003,1,27,2003,Exxon Mobil Corporation,,,,,,10532
The Procter & Gamble Company,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11865
E.I. du Pont de Nemours & Company,11$20$1935,11,20,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13138
United Aircraft Corporation,3$4$1939,3,4,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8$9$1976,8,9,1976,United Technologies Corporation,,,,,,,,,,,14338
Minnesota Mining & Manufacturing Company,8$9$1976,8,9,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1$27$2003,1,27,2003,3M Company,,,,,,,,,,,28011
International Business Machines Corporation,6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29065
"Merck & Co., Inc.",6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29065
