Company,DateAdded,DateAddedM,DateAddedD,DateAddedY,ReplacedBy,DateRemoved,DateRemovedM,DateRemovedD,DateRemovedY,DateAcquired,DateAcquiredM,DateAcquiredD,DateAcquiredY,Acquired,DateAbsorbed,DateAbsorbedM,DateAbsorbedD,DateAbsorbedY,AbsorbedBy,DateMerged1,DateMerged1M,DateMerged1D,DateMerged1Y,MergedWith1,MergedWith2,DateMerged2,DateMerged2M,DateMerged2D,DateMerged2Y,DateReorganized,DateReorganizedM,DateReorganizedD,DateReorganizedY,ReorganizedAs,Note,DateNameChange1,DateNameChange1M,DateNameChange1D,DateNameChange1Y,NameChanged1,DateNameChange2,DateNameChange2M,DateNameChange2D,DateNameChange2Y,NameChanged2,DateNameChange3,DateNameChange3M,DateNameChange3D,DateNameChange3Y,NameChanged3
United Drug Stores,3$16$1927,3,16,1927,General Railway Signal Company,10$1$1928,10,1,1928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victor Talking Machine Company,10$1$1928,10,1,1928,National Cash Register Company,1$8$1929,1,8,1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North American Company,10$1$1928,10,1,1928,Johns-Manville Corporation,1$29$1930,1,29,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The American Sugar Refining Company ,5$26$1896,5,26,1896,"Borden, Inc.",7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,Only precursor,,,,,,,,,,,,,,,
American Tobacco Company (B shares),1$22$1924,1,22,1924,Eastman Kodak Company,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atlantic Refining Company,10$1$1928,10,1,1928,Goodyear Tire and Rubber Company,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Railway Signal Company,10$1$1928,10,1,1928,Liggett & Myers Tobacco Company,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.F. Goodrich Corporation,10$1$1928,10,1,1928,Standard Oil Co. of California,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nash Motors Company,10$1$1928,10,1,1928,United Aircraft and Transport Corporation,7$18$1930,7,18,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wright Aeronautical,10$1$1928,10,1,1928,Hudson Motor Car Company,7$18$1930,7,18,1930,,,,,,,,,,,9$14$1929,9,14,1929,Curtiss Aeroplane and Motor Company,,,,,,,,,,,,9$14$1929,9,14,1929,Curtiss-Wright Corporation,,,,,,,,,,
"Mack Trucks, Inc. (ex-stock dividend)",12$31$1925,12,31,1925,Drug Incorporated,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paramount Famous Lasky Corporation,12$7$1925,12,7,1925,International Shoe Company,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,10$1$1928,10,1,1928,Paramount Publix,,,,,,,,,,
Radio Corporation of America,10$1$1928,10,1,1928,Loew's Theatres Incorporated,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Gulf Sulphur Company,10$1$1928,10,1,1928,Nash Motors Company,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Cash Register Company,1$8$1929,1,8,1929,International Business Machines Corporation,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hudson Motor Car Company,7$18$1930,7,18,1930,American Tobacco Company (B shares),5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liggett & Myers Tobacco Company,7$18$1930,7,18,1930,The Coca-Cola Company,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Aircraft and Transport Corporation,7$18$1930,7,18,1930,The Procter & Gamble Company,5$26$1932,5,26,1932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drug Incorporated,5$26$1932,5,26,1932,Corn Products Refining Company,8$15$1933,8,15,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Shoe Company,5$26$1932,5,26,1932,United Aircraft and Transport Corporation,8$15$1933,8,15,1933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Aircraft and Transport Corporation,8$15$1933,8,15,1933,National Distillers Products Corporation,8$13$1934,8,13,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Borden, Inc.",7$18$1930,7,18,1930,E.I. du Pont de Nemours & Company,11$20$1935,11,20,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Coca-Cola Company,5$26$1932,5,26,1932,National Steel Corporation,11$20$1935,11,20,1935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Business Machines Corporation,5$26$1932,5,26,1932,American Telephone and Telegraph Company,3$4$1939,3,4,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nash Motors Company,5$26$1932,5,26,1932,United Aircraft Corporation,3$4$1939,3,4,1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Loew's Theatres Incorporated,5$26$1932,5,26,1932,International Paper Company,7$3$1956,7,3,1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Smelting & Refining Company,4$1$1901,4,1,1901,Aluminum Company of America,6$1$1959,6,1,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corn Products Refining Company,8$15$1933,8,15,1933,Anaconda Copper Mining Company,6$1$1959,6,1,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Distillers Products Corporation,8$13$1934,8,13,1934,"Owens-Illinois, Inc.",6$1$1959,6,1,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National Steel Corporation,11$20$1935,11,20,1935,Swift & Company,6$1$1959,6,1,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anaconda Copper Mining Company,6$1$1959,6,1,1959,Minnesota Mining & Manufacturing Company,8$9$1976,8,9,1976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chrysler Corporation,10$1$1928,10,1,1928,International Business Machines Corporation,6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swift & Company,6$1$1959,6,1,1959,"Merck & Co., Inc.",6$29$1979,6,29,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,8$9$1976,8,9,1976,Esmark,,,,,,,,,,
Johns-Manville Corporation,1$29$1930,1,29,1930,American Express Company,8$30$1982,8,30,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Postum Incorporated,10$1$1928,10,1,1928,Philip Morris Companies Inc.,10$30$1985,10,30,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,9$14$1929,9,14,1929,General Foods Corporation,,,,,,,,,,
American Tobacco Company (B shares),5$26$1932,5,26,1932,McDonald's Corporation,10$30$1985,10,30,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"International Nickel Company, Ltd.",10$1$1928,10,1,1928,The Boeing Company,3$12$1987,3,12,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,8$9$1976,8,9,1976,Inco,,,,,,,,,,
"Owens-Illinois, Inc.",6$1$1959,6,1,1959,The Coca-Cola Company,3$12$1987,3,12,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States Steel Corporation,4$1$1901,4,1,1901,The Walt Disney Company,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,3$12$1987,3,12,1987,USX Corporation,,,,,,,,,,
American Can Company,10$4$1916,10,4,1916,Caterpillar Inc.,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
International Harvester Company,8$31$1925,8,31,1925,J.P. Morgan & Company,5$6$1991,5,6,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,3$12$1987,3,12,1987,Navistar International Corporation,,,,,,,,,,
F. W. Woolworth Company,5$12$1924,5,12,1924,"Wal-Mart Stores, Inc.",3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Texas Company,8$31$1925,8,31,1925,Johnson & Johnson,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,6$1$1959,6,1,1959,Texaco Incorporated,,,,,,,,,,
Bethlehem Steel Corporation,10$1$1928,10,1,1928,Hewlett-Packard Company,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westinghouse Electric Corporation,10$1$1928,10,1,1928,Travelers Inc.,3$17$1997,3,17,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sears Roebuck & Company,1$22$1924,1,22,1924,Microsoft Corporation,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Union Carbide Corporation,10$1$1928,10,1,1928,SBC Communications Inc.,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goodyear Tire and Rubber Company,7$18$1930,7,18,1930,Intel Corporation,11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Standard Oil Co. of California,7$18$1930,7,18,1930,"The Home Depot, Inc.",11$1$1999,11,1,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,10$30$1985,10,30,1985,Chevron Corporation,,,,,,,,,,
Eastman Kodak Company,7$18$1930,7,18,1930,Pfizer Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Telephone and Telegraph Company,3$4$1939,3,4,1939,American International Group Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,5$6$1991,5,6,1991,AT&T Corporation,,,,,,,,,,
International Paper Company,7$3$1956,7,3,1956,Verizon Communications Inc.,4$8$2004,4,8,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allied Chemical and Dye Corporation,12$7$1925,12,7,1925,Chevron Corporation,2$19$2008,2,19,2008,,,,,,,,,,,10$30$1985,10,30,1985,Signal Corp,Honeywell International,1$27$2003,1,27,2003,,,,,,,6$1$1959,6,1,1959,Allied Chemical Corporation,10$30$1985,10,30,1985,Allied-Signal Incorporated,1$27$2003,1,27,2003,Honeywell International
Philip Morris Companies Inc.,10$30$1985,10,30,1985,Bank of America Corporation,2$19$2008,2,19,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,1$27$2003,1,27,2003,"Altria Group, Incorporated",,,,,,,,,,
American International Group Inc.,4$8$2004,4,8,2004,Kraft Foods Inc,9$22$2008,9,22,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Motors Corporation,8$31$1925,8,31,1925,"The Travelers Companies, Inc.",6$8$2009,6,8,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travelers Inc.,3$17$1997,3,17,1997,"Cisco Systems, Inc.",6$8$2009,6,8,2009,,,,,,,,,,,11$1$1999,11,1,1999,Citicorp,,,,,,,,,,,,11$1$1999,11,1,1999,Citigroup Inc.,,,,,,,,,,
